userid,participation
965300686892869,116
10153895584921462,100
10207526501593467,92
1127770697254629,85
10208992561596970,73
212496162435930,70
898912296893427,58
1115704095114967,49
974662675950725,48
992212647529960,45
1124722680894407,39
10206959573882438,39
1233485653332454,33
1218344761526985,32
945687945515398,31
1038907829503410,29
1028222843914463,29
954324687950399,28
960811404012803,23
10207565385266401,21
669833736452503,21
1067110696645445,20
1272024769479630,19
1174465492578744,18
1135197033180661,16
1061907667214870,16
1121389831238666,14
10208018478036458,14
1148937778452052,14
530390670477042,13
968890849855712,13
951093714945150,12
10206443678919009,11
580576672091951,10
950973871644990,9
1041100419285766,9
897363843709899,8
10207245970138850,8
959478777461905,7
1116152035081844,7
1349115611780884,7
10153835033736893,6
1033238206719449,6
1141442102542007,6
10208386944332172,5
1039682136091275,4
916569425123491,4
952785084811477,4
10209518815910568,3
10208198156698954,3
842995772478181,2
1809193439308388,1
10208996402971305,1
